Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class
3309,429093,436258,1,1-Jan-09,55,Unclassified
2609,434723,435534,1,2-Jan-09,2335,Unclassified
2809,441173,433047,1,2-Jan-09,1645,Unclassified
3809,428487,431364,1,2-Jan-09,1723,A
3909,425928,435480,2,2-Jan-09,1350,Unclassified
3909,425928,435480,2,2-Jan-09,1350,Unclassified
19809,425642,434240,2,2-Jan-09,2300,A
3709,429610,439798,1,3-Jan-09,222,Unclassified
4309,426535,433642,2,3-Jan-09,325,Unclassified
9009,437658,445061,1,3-Jan-09,1645,A
9009,437658,445061,1,3-Jan-09,1645,A
66209,431508,435120,2,3-Jan-09,1745,Unclassified
66209,431508,435120,2,3-Jan-09,1745,Unclassified
66209,431508,435120,2,3-Jan-09,1745,Unclassified
66209,431508,435120,2,3-Jan-09,1745,Unclassified
66209,431508,435120,2,3-Jan-09,1745,Unclassified
2909,443402,438684,2,4-Jan-09,1605,A(M)
2909,443402,438684,2,4-Jan-09,1605,A(M)
4209,428099,426648,1,4-Jan-09,21,A
8409,431482,435007,2,4-Jan-09,1430,Unclassified
8409,431482,435007,2,4-Jan-09,1430,Unclassified
8409,431482,435007,2,4-Jan-09,1430,Unclassified
3109,427890,430474,1,5-Jan-09,705,A
3109,427890,430474,1,5-Jan-09,705,A
8509,427304,433623,3,5-Jan-09,1430,A
8509,427304,433623,3,5-Jan-09,1430,A
11009,432430,433799,1,5-Jan-09,1250,Unclassified
22509,431463,432466,1,5-Jan-09,2330,A
8609,432533,434156,1,6-Jan-09,1805,Unclassified
9109,421617,434392,2,6-Jan-09,1800,B
9109,421617,434392,2,6-Jan-09,1800,B
11609,433601,429802,1,6-Jan-09,1725,Motorway
12909,424112,434008,1,6-Jan-09,1308,A
13109,425186,437731,2,6-Jan-09,1040,Unclassified
13109,425186,437731,2,6-Jan-09,1040,Unclassified
19109,421016,441155,1,6-Jan-09,1120,Unclassified
21809,429870,430441,3,6-Jan-09,2055,Unclassified
22309,423629,437988,3,6-Jan-09,1109,Unclassified
80709,435211,433542,1,6-Jan-09,1510,Unclassified
147409,437665,444765,1,6-Jan-09,2046,A
11309,430112,431742,2,7-Jan-09,1240,A
11809,429436,433461,2,7-Jan-09,1730,Unclassified
17709,432067,428607,2,7-Jan-09,1805,Motorway
17709,432067,428607,2,7-Jan-09,1805,Motorway
19509,425549,436382,2,7-Jan-09,750,A
12009,429298,428264,2,8-Jan-09,847,Unclassified
12009,429298,428264,2,8-Jan-09,847,Unclassified
13509,425070,437952,1,8-Jan-09,1100,Unclassified
18409,430859,424436,2,8-Jan-09,830,Motorway
18409,430859,424436,2,8-Jan-09,830,Motorway
22709,432517,436673,2,8-Jan-09,830,Unclassified
36409,425924,435145,2,8-Jan-09,1656,Unclassified
86809,423618,434131,1,8-Jan-09,1710,Unclassified
13009,431503,435127,2,9-Jan-09,819,A
15509,440513,448481,2,9-Jan-09,2103,B
18009,429771,431652,2,9-Jan-09,1539,Unclassified
18209,422040,443853,1,9-Jan-09,147,Unclassified
19209,429700,432100,3,9-Jan-09,752,Motorway
20009,441206,448780,2,9-Jan-09,750,A(M)
29709,421375,440473,2,9-Jan-09,1550,A
29709,421375,440473,2,9-Jan-09,1550,A
19609,428572,432995,1,10-Jan-09,740,A
22109,431509,432630,3,10-Jan-09,1525,A
22109,431509,432630,3,10-Jan-09,1525,A
22109,431509,432630,3,10-Jan-09,1525,A
47309,429273,430090,2,10-Jan-09,1122,A
20209,443242,439661,1,11-Jan-09,2332,A(M)
20509,431914,430363,1,11-Jan-09,210,A
20509,431914,430363,1,11-Jan-09,210,A
22609,434345,434354,2,11-Jan-09,1335,A
22609,434345,434354,2,11-Jan-09,1335,A
24409,433753,441992,2,11-Jan-09,1840,Unclassified
24409,433753,441992,2,11-Jan-09,1840,Unclassified
30009,430226,433202,1,11-Jan-09,158,Unclassified
23009,438099,431586,1,12-Jan-09,735,Unclassified
25009,432151,435283,1,12-Jan-09,1800,B
26909,438554,430035,2,12-Jan-09,1915,Unclassified
35509,425747,431487,2,12-Jan-09,1240,Unclassified
23309,432192,442256,2,13-Jan-09,650,A
24709,428956,435470,2,13-Jan-09,1550,A
25109,428470,435284,2,13-Jan-09,2130,Unclassified
26309,426322,428159,2,14-Jan-09,1830,B
27209,420436,440143,2,14-Jan-09,712,A
29909,428061,435959,2,14-Jan-09,845,A
35009,424244,428689,2,14-Jan-09,1737,Unclassified
37009,418301,441336,2,14-Jan-09,1753,A
78509,426868,437527,2,14-Jan-09,1138,A
78509,426868,437527,2,14-Jan-09,1138,A
224609,427900,439923,1,14-Jan-09,150,Unclassified
345809,424579,435155,2,14-Jan-09,1300,A
34509,431969,435825,2,15-Jan-09,640,A
36909,431404,435026,2,15-Jan-09,1935,Unclassified
37209,430459,435623,4,15-Jan-09,740,A
37309,427887,440270,2,15-Jan-09,1335,Unclassified
37409,434107,433901,2,15-Jan-09,910,Unclassified
42009,428344,431608,2,15-Jan-09,1330,Motorway
27309,432998,436045,1,16-Jan-09,15,A
30409,430330,433321,2,16-Jan-09,1404,Unclassified
30409,430330,433321,2,16-Jan-09,1404,Unclassified
36509,430189,431710,1,16-Jan-09,1338,Unclassified
77009,424351,438774,1,16-Jan-09,630,Unclassified
32209,429595,434697,2,17-Jan-09,1215,A
33609,435121,433538,1,17-Jan-09,1115,Unclassified
34909,434620,441225,2,17-Jan-09,2125,Unclassified
34909,434620,441225,2,17-Jan-09,2125,Unclassified
34909,434620,441225,2,17-Jan-09,2125,Unclassified
34909,434620,441225,2,17-Jan-09,2125,Unclassified
35909,439996,437096,1,17-Jan-09,1510,Unclassified
37509,430324,433288,4,17-Jan-09,133,Unclassified
39009,431864,429760,2,17-Jan-09,1001,Unclassified
39409,429941,425130,2,17-Jan-09,1505,A
39409,429941,425130,2,17-Jan-09,1505,A
43109,434843,436328,1,17-Jan-09,1742,Unclassified
47109,432711,434493,1,17-Jan-09,1645,B
171309,431607,435248,1,17-Jan-09,1750,A
35209,430530,440743,2,18-Jan-09,1825,Unclassified
59109,429806,433383,1,18-Jan-09,1510,Unclassified
39509,432733,427496,1,19-Jan-09,817,A
40909,436189,434322,2,19-Jan-09,1154,Unclassified
40909,436189,434322,2,19-Jan-09,1154,Unclassified
41109,436067,436616,2,19-Jan-09,1800,Unclassified
41309,440894,433571,2,19-Jan-09,1655,A
42909,424910,439707,2,19-Jan-09,902,Unclassified
42909,424910,439707,2,19-Jan-09,902,Unclassified
43809,428923,429880,1,19-Jan-09,1715,Unclassified
44909,423734,434325,3,19-Jan-09,750,Unclassified
44909,423734,434325,3,19-Jan-09,750,Unclassified
45409,425537,432762,2,19-Jan-09,1820,A
45409,425537,432762,2,19-Jan-09,1820,A
45409,425537,432762,2,19-Jan-09,1820,A
45409,425537,432762,2,19-Jan-09,1820,A
45509,419963,446150,2,19-Jan-09,1500,Unclassified
47909,429932,437557,3,19-Jan-09,1848,Unclassified
50809,428956,435471,2,19-Jan-09,750,A
50809,428956,435471,2,19-Jan-09,750,A
66109,429950,428086,1,19-Jan-09,1029,Unclassified
106409,436940,425890,3,19-Jan-09,1328,Motorway
112209,426467,435765,1,19-Jan-09,1730,Unclassified
43009,436158,441823,2,20-Jan-09,848,Unclassified
43009,436158,441823,2,20-Jan-09,848,Unclassified
45609,420113,434034,2,20-Jan-09,815,Unclassified
46809,427551,431985,2,20-Jan-09,800,A
50509,421990,433001,1,20-Jan-09,630,B
72109,428300,444735,1,20-Jan-09,2140,A
44009,427202,432544,1,21-Jan-09,1030,Unclassified
45909,431003,430540,1,21-Jan-09,100,Motorway
50009,423424,437621,1,21-Jan-09,1820,A
58109,439119,432454,2,21-Jan-09,715,A
59409,441925,430291,2,21-Jan-09,1855,Unclassified
144609,430356,438558,3,21-Jan-09,1425,Unclassified
144609,430356,438558,3,21-Jan-09,1425,Unclassified
47409,427079,434817,1,22-Jan-09,615,A
52709,440893,448715,2,22-Jan-09,1714,B
52709,440893,448715,2,22-Jan-09,1714,B
58209,430637,434720,2,22-Jan-09,2000,Unclassified
61409,428824,435224,2,22-Jan-09,1530,Unclassified
80209,435518,434819,1,22-Jan-09,1540,Unclassified
53109,434696,434563,2,23-Jan-09,800,A
54309,424019,438460,2,23-Jan-09,730,Unclassified
57909,433428,433952,1,23-Jan-09,1600,Unclassified
58509,428508,442351,1,23-Jan-09,2230,Unclassified
58709,434063,435140,2,23-Jan-09,722,Unclassified
64709,432000,430452,2,23-Jan-09,1330,A
64709,432000,430452,2,23-Jan-09,1330,A
