Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetables,Stable
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut,Stable
weekly_02_2025_Eng.txt,egg,Unknown,Eggs,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rice/Paddy,Stable
weekly_02_2025_Eng.txt,rice,Increase,Prices of both large and small nuts have increased. Prices,Increase
weekly_02_2025_Eng.txt,rice,Increase,Prices of both brown and white eggs have increased by about,Increase
weekly_02_2025_Eng.txt,rice,Unknown,Rs.1.00/egg. Prices ranged Rs.36.00-40.00 for white egg and,Stable
weekly_02_2025_Eng.txt,egg,Unknown,Rs.38.00-40.00 for brown egg.,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both imported red onion and imported big onion,Stable
weekly_02_2025_Eng.txt,rice,Increase,have increased. Price of imported potato has decreased while,Increase
weekly_02_2025_Eng.txt,rice,Increase,the price of Nuwara Eliya potato has increased.,Increase
weekly_02_2025_Eng.txt,rice,Increase,Prices of most of the upcountry vegetables have increased,Increase
weekly_02_2025_Eng.txt,rice,Unknown,while prices of most of the low country vegetables have,Stable
weekly_02_2025_Eng.txt,rice,Increase,Prices of most of the rice varieties have increased due to,Increase
weekly_02_2025_Eng.txt,rice,Unknown,limited stock position. Prices ranged Rs.280.00-300.00/kg for,Stable
weekly_02_2025_Eng.txt,rice,Unknown,province. Prices of both short grain and long grain (white),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rice,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of most local rice varieties have not,Stable
weekly_02_2025_Eng.txt,rice,Unknown,changed significantly. Prices ranged,Stable
weekly_02_2025_Eng.txt,rice,Unknown,raw red rice varieties were not available at,Stable
weekly_02_2025_Eng.txt,rice,Unknown,sufficient stocks. Raw white rice varieties,Stable
weekly_02_2025_Eng.txt,rice,Unknown,price ranged of Rs.215.00-220.00/kg.,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Imported rice varieties was also available,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices.,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the rice varieties have,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased with the highest price increase of,Increase
weekly_02_2025_Eng.txt,rice,Unknown,contrast the price of keeri samba has,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of all types of rice varieties except for,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased. Prices of local raw red and white,Increase
weekly_02_2025_Eng.txt,rice,Increase,rice have increased by Rs.23.00/kg,Increase
weekly_02_2025_Eng.txt,rice,Unknown,limited stock position.  Prices ranged,Stable
weekly_02_2025_Eng.txt,rice,Unknown,the current retail prices of all the rice,Stable
weekly_02_2025_Eng.txt,rice,Increase,samba have increased with the highest price,Increase
weekly_02_2025_Eng.txt,rice,Unknown,"been observed. As a result, prices of both",Stable
weekly_02_2025_Eng.txt,rice,Unknown,producing areas during the week. The price,Stable
weekly_02_2025_Eng.txt,rice,Decrease,"Kalawewa areas. Further, price decrease",Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Kurunegala areas. The paddy prices for,Stable
weekly_02_2025_Eng.txt,rice,Decrease,areas. The price decline of Rs.1.00-7.00/kg,Decrease
weekly_02_2025_Eng.txt,rice,Decrease,with the highest price decrease was noted,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,paddy stocks. Prices ranged Rs.120.00-,Stable
weekly_02_2025_Eng.txt,rice,Increase,"However, considerable price increase was",Increase
weekly_02_2025_Eng.txt,rice,Unknown,Prices ranged of Rs.170.00-185.00/kg for,Stable
weekly_02_2025_Eng.txt,rice,Unknown,the average prices of all the major paddy,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased with the highest price increase of,Increase
weekly_02_2025_Eng.txt,rice,Unknown,"in Embilipitiya. However, price of keeri",Stable
weekly_02_2025_Eng.txt,rice,Unknown,Price of imported dried chilies has,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased slightly and price ranged,Increase
weekly_02_2025_Eng.txt,rice,Unknown,current whole sale price of imported dried,Stable
weekly_02_2025_Eng.txt,rice,Decrease,"In line with decreased wholesale price, the",Decrease
weekly_02_2025_Eng.txt,rice,Unknown,retail price of imported dried chilies has,Stable
weekly_02_2025_Eng.txt,rice,Decrease,decreased by Rs.30.00/kg and price ranged,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,the current retail price of imported dried,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Onion,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Price of imported red onion has,Stable
weekly_02_2025_Eng.txt,rice,Decrease,decreased by 4% and price ranged,Decrease
weekly_02_2025_Eng.txt,onion,Unknown,Rs.350.00-450.00/kg. Sinan red onion was,Stable
weekly_02_2025_Eng.txt,rice,Unknown,also available at the market and price,Stable
weekly_02_2025_Eng.txt,rice,Increase,price of imported big onion has increased,Increase
weekly_02_2025_Eng.txt,rice,Unknown,stocks at the market and price ranged,Stable
weekly_02_2025_Eng.txt,rice,Unknown,current whole sale price of imported red,Stable
weekly_02_2025_Eng.txt,rice,Increase,onion has increased by 37% while price of,Increase
weekly_02_2025_Eng.txt,onion,Decrease,imported big onion has decreased by 54%.,Decrease
weekly_02_2025_Eng.txt,rice,Increase,Price of imported red onion has increased by,Increase
weekly_02_2025_Eng.txt,rice,Unknown,Rs.10.00/kg and the price ranged Rs.480.00-,Stable
weekly_02_2025_Eng.txt,onion,Unknown,850.00/kg. Local red onion stocks were not,Stable
weekly_02_2025_Eng.txt,rice,Unknown,available at the markets. Price of imported,Stable
weekly_02_2025_Eng.txt,onion,Increase,"big onion has also increased by Rs.19.00/kg,",Increase
weekly_02_2025_Eng.txt,rice,Unknown,with the price range of Rs.220.00 -,Stable
weekly_02_2025_Eng.txt,rice,Unknown,current retail price of imported red onion has,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased by 10% while the price of,Increase
weekly_02_2025_Eng.txt,onion,Decrease,imported big onion has decreased by 51%.,Decrease
weekly_02_2025_Eng.txt,potato,Unknown,Potato,Stable
weekly_02_2025_Eng.txt,rice,Increase,Price of Nuwara Eliya potato has increased,Increase
weekly_02_2025_Eng.txt,rice,Unknown,by 3% and price ranged Rs.340.00 -,Stable
