Week,Commodity,Trend,Text
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetables
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut
weekly_02_2025_Eng.txt,egg,Unknown,Eggs
weekly_02_2025_Eng.txt,rice,Unknown,Rice/Paddy
weekly_02_2025_Eng.txt,rice,Increase,Prices of both large and small nuts have increased. Prices
weekly_02_2025_Eng.txt,rice,Increase,Prices of both brown and white eggs have increased by about
weekly_02_2025_Eng.txt,rice,Unknown,Rs.1.00/egg. Prices ranged Rs.36.00-40.00 for white egg and
weekly_02_2025_Eng.txt,egg,Unknown,Rs.38.00-40.00 for brown egg.
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both imported red onion and imported big onion
weekly_02_2025_Eng.txt,rice,Increase,have increased. Price of imported potato has decreased while
weekly_02_2025_Eng.txt,rice,Increase,the price of Nuwara Eliya potato has increased.
weekly_02_2025_Eng.txt,rice,Increase,Prices of most of the upcountry vegetables have increased
weekly_02_2025_Eng.txt,rice,Unknown,while prices of most of the low country vegetables have
weekly_02_2025_Eng.txt,rice,Increase,Prices of most of the rice varieties have increased due to
weekly_02_2025_Eng.txt,rice,Unknown,limited stock position. Prices ranged Rs.280.00-300.00/kg for
weekly_02_2025_Eng.txt,rice,Unknown,province. Prices of both short grain and long grain (white)
weekly_02_2025_Eng.txt,rice,Unknown,Rice
weekly_02_2025_Eng.txt,rice,Unknown,Prices of most local rice varieties have not
weekly_02_2025_Eng.txt,rice,Unknown,changed significantly. Prices ranged
weekly_02_2025_Eng.txt,rice,Unknown,raw red rice varieties were not available at
weekly_02_2025_Eng.txt,rice,Unknown,sufficient stocks. Raw white rice varieties
weekly_02_2025_Eng.txt,rice,Unknown,price ranged of Rs.215.00-220.00/kg.
weekly_02_2025_Eng.txt,rice,Unknown,Imported rice varieties was also available
weekly_02_2025_Eng.txt,rice,Unknown,prices.
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the rice varieties have
weekly_02_2025_Eng.txt,rice,Increase,increased with the highest price increase of
weekly_02_2025_Eng.txt,rice,Unknown,contrast the price of keeri samba has
weekly_02_2025_Eng.txt,rice,Unknown,Prices of all types of rice varieties except for
weekly_02_2025_Eng.txt,rice,Increase,increased. Prices of local raw red and white
weekly_02_2025_Eng.txt,rice,Increase,rice have increased by Rs.23.00/kg
weekly_02_2025_Eng.txt,rice,Unknown,limited stock position.  Prices ranged
weekly_02_2025_Eng.txt,rice,Unknown,the current retail prices of all the rice
weekly_02_2025_Eng.txt,rice,Increase,samba have increased with the highest price
