week,rice_type,price_change_pct
weekly_02_2025_Eng,Samba1,240.0
weekly_02_2025_Eng,Nadu1,240.0
weekly_02_2025_Eng,RawRed,180.0
weekly_05_2025_Eng,Samba1,240.0
weekly_05_2025_Eng,Nadu1,240.0
weekly_05_2025_Eng,RawRed,220.0
weekly_15_16_2025_Eng,Samba1,240.0
weekly_15_16_2025_Eng,Nadu1,240.0
weekly_15_16_2025_Eng,RawRed,210.0
weekly_10_2025_Eng,Samba1,240.0
weekly_10_2025_Eng,Nadu1,240.0
weekly_10_2025_Eng,RawRed,215.0
weekly_17_2025_Eng,Samba1,240.0
weekly_17_2025_Eng,Nadu1,240.0
weekly_17_2025_Eng,RawRed,210.0
weekly_20_2025_Eng,Samba1,245.0
weekly_20_2025_Eng,Nadu1,245.0
weekly_20_2025_Eng,RawRed,210.0
weekly_11_2025_Eng,Samba1,240.0
weekly_11_2025_Eng,Nadu1,240.0
weekly_11_2025_Eng,RawRed,215.0
weekly_04_2025_Eng,Samba1,250.0
weekly_04_2025_Eng,Nadu1,250.0
weekly_04_2025_Eng,RawRed,180.56
weekly_03_2025_Eng,Samba1,240.0
weekly_03_2025_Eng,Nadu1,240.0
weekly_03_2025_Eng,RawRed,180.56
weekly_09_2025_Eng,Samba1,240.0
weekly_09_2025_Eng,Nadu1,240.0
weekly_09_2025_Eng,RawRed,215.0
weekly_08_2025_Eng,Samba1,240.0
weekly_08_2025_Eng,Nadu1,240.0
weekly_08_2025_Eng,RawRed,215.0
weekly_18_2025_Eng,Samba1,240.0
weekly_18_2025_Eng,Nadu1,240.0
weekly_18_2025_Eng,RawRed,210.0
weekly_19_2025_Eng,Samba1,240.0
weekly_19_2025_Eng,Nadu1,240.0
weekly_19_2025_Eng,RawRed,210.0
weekly_13_2025_Eng,Samba1,240.0
weekly_13_2025_Eng,Nadu1,240.0
weekly_13_2025_Eng,RawRed,215.0
weekly_14_2025_Eng,Samba1,240.0
weekly_14_2025_Eng,Nadu1,240.0
weekly_14_2025_Eng,RawRed,215.0
weekly_01_2025_Eng,Samba1,240.0
weekly_01_2025_Eng,Nadu1,240.0
weekly_01_2025_Eng,RawRed,180.0
weekly_06_2025_Eng,Samba1,240.0
weekly_06_2025_Eng,Nadu1,240.0
weekly_06_2025_Eng,RawRed,215.0
weekly_07_2025_Eng,Samba1,240.0
weekly_07_2025_Eng,Nadu1,240.0
weekly_07_2025_Eng,RawRed,215.0
weekly_12_2025_Eng,Samba1,240.0
weekly_12_2025_Eng,Nadu1,240.0
weekly_12_2025_Eng,RawRed,215.0
